coverage	n
1	1451
2	1339
3	834
4	843
5	1087
6	882
7	945
8	1050
9	1000
10	1041
11	898
12	1126
13	1054
14	829
15	859
16	1070
17	1293
18	1152
19	1074
20	1252
21	1247
22	1610
23	1727
24	1971
25	2541
26	2908
27	3069
28	3546
29	4450
30	5368
31	6258
32	7645
33	9271
34	11355
35	14135
36	16448
37	19657
38	23459
39	28463
40	34673
41	40619
42	48019
43	55735
44	65653
45	75181
46	85151
47	95915
48	107122
49	119375
50	129779
51	141852
52	150496
53	159117
54	167264
55	171932
56	177566
57	179542
58	180339
59	178400
60	176025
61	171285
62	166126
63	159002
64	150655
65	142085
66	132544
67	122324
68	112120
69	101690
70	92113
71	82402
72	73708
73	64450
74	55985
75	49075
76	42445
77	35475
78	30313
79	25984
80	21449
81	18016
82	14666
83	12484
84	10040
85	8055
86	6704
87	5344
88	4301
89	3378
90	2719
91	2121
92	1535
93	1270
94	902
95	663
96	533
97	496
98	352
99	266
100	203
101	168
102	150
103	101
104	100
105	85
106	66
107	47
108	39
109	26
110	33
111	25
112	22
113	31
114	24
115	26
116	11
117	15
118	10
119	6
120	5
121	7
122	7
123	11
124	18
125	14
126	31
127	23
128	23
129	30
130	20
131	19
132	23
133	11
134	15
135	17
136	14
137	7
138	15
139	6
140	3
141	6
142	12
143	6
144	8
145	0
146	2
147	2
148	0
149	1
150	0
151	0
152	0
153	0
154	1
155	2
156	0
157	2
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	1
