coverage	n
1	1059
2	923
3	399
4	941
5	958
6	668
7	1095
8	810
9	924
10	1041
11	1256
12	1105
13	1061
14	965
15	1175
16	893
17	1119
18	905
19	1207
20	1146
21	1306
22	1501
23	1537
24	1855
25	2038
26	2420
27	2859
28	3456
29	4492
30	5162
31	6742
32	8655
33	10568
34	13858
35	17530
36	21791
37	26504
38	32389
39	39062
40	47294
41	56276
42	64456
43	75816
44	86747
45	97753
46	108979
47	119761
48	130784
49	140493
50	150830
51	158765
52	166070
53	171394
54	176961
55	179973
56	180399
57	179956
58	176970
59	173581
60	167431
61	160849
62	152228
63	143159
64	133407
65	123355
66	113832
67	104020
68	92516
69	82543
70	73158
71	64741
72	57361
73	50276
74	43454
75	37012
76	31851
77	27257
78	22994
79	19480
80	15609
81	13085
82	11048
83	9078
84	7460
85	6021
86	4681
87	3848
88	3012
89	2180
90	1783
91	1510
92	1294
93	930
94	762
95	580
96	396
97	281
98	237
99	205
100	171
101	170
102	176
103	177
104	198
105	173
106	156
107	170
108	157
109	182
110	138
111	154
112	168
113	133
114	129
115	120
116	114
117	95
118	90
119	77
120	78
121	69
122	62
123	51
124	47
125	59
126	69
127	56
128	79
129	82
130	70
131	71
132	46
133	57
134	60
135	61
136	52
137	49
138	38
139	36
140	47
141	29
142	55
143	48
144	26
145	21
146	17
147	6
148	19
149	13
150	10
151	12
152	18
153	15
154	18
155	15
156	20
157	23
158	10
159	15
160	16
161	8
162	2
163	2
164	2
165	3
166	0
167	1
168	1
169	2
170	2
171	0
172	2
173	2
174	2
175	0
176	0
177	0
178	1
179	3
