unique_top_cov	unique_bot_cov	redundant_top_cov	redundant_bot_cov	raw_redundant_top_cov	raw_redundant_bot_cov	e_value	position
37	29	0	0	0	0	159.187	1
38	29	0	0	0	0	150.566	2
38	29	0	0	0	0	138.244	3
39	30	0	0	0	0	147.983	4
39	30	0	0	0	0	137.174	5
38	29	0	0	0	0	144.562	6
38	31	0	0	0	0	137.985	7
37	31	0	0	0	0	153.334	8
37	31	0	0	0	0	138.52	9
38	32	0	0	0	0	146.683	10
38	32	0	0	0	0	160.434	11
38	32	0	0	0	0	162.105	12
38	33	0	0	0	0	151.064	13
38	33	0	0	0	0	167.677	14
39	34	0	0	0	0	153.601	15
39	34	0	0	0	0	168.486	16
40	34	0	0	0	0	167.181	17
39	33	0	0	0	0	164.44	18
38	33	0	0	0	0	156.734	19
38	33	0	0	0	0	158.115	20
38	34	0	0	0	0	157.511	21
38	33	0	0	0	0	156.656	22
39	32	0	0	0	0	162.936	23
40	34	0	0	0	0	158.046	24
40	35	0	0	0	0	176.047	25
42	36	0	0	0	0	169.287	26
42	36	0	0	0	0	173.202	27
42	36	0	0	0	0	182.583	28
42	36	0	0	0	0	163.738	29
41	35	0	0	0	0	161.77	30
41	35	0	0	0	0	147.425	31
41	35	0	0	0	0	156.895	32
40	35	0	0	0	0	156.122	33
40	35	0	0	0	0	151.462	34
40	35	0	0	0	0	171.809	35
40	35	0	0	0	0	165.441	36
39	35	0	0	0	0	169.18	37
38	34	0	0	0	0	157.806	38
39	34	0	0	0	0	146.632	39
39	33	0	0	0	0	156.273	40
38	33	0	0	0	0	168.289	41
38	32	0	0	0	0	161.284	42
38	31	0	0	0	0	154.392	43
38	30	0	0	0	0	144.26	44
38	29	0	0	0	0	134.616	45
39	29	0	0	0	0	132.058	46
36	28	0	0	0	0	148.799	47
36	28	0	0	0	0	135.509	48
36	28	0	0	0	0	128.417	49
35	28	0	0	0	0	144.445	50
36	28	0	0	0	0	131.842	51
36	28	0	0	0	0	133.298	52
36	28	0	0	0	0	132.502	53
36	28	0	0	0	0	144.71	54
36	28	0	0	0	0	134.772	55
36	28	0	0	0	0	148.843	56
36	28	0	0	0	0	131.829	57
36	27	0	0	0	0	137.145	58
36	28	0	0	0	0	142.262	59
36	28	0	0	0	0	128.966	60
36	28	0	0	0	0	151.152	61
36	28	0	0	0	0	143.729	62
36	28	0	0	0	0	124.785	63
34	27	0	0	0	0	127.944	64
34	27	0	0	0	0	122.684	65
34	26	0	0	0	0	131.711	66
33	26	0	0	0	0	106.506	67
32	26	0	0	0	0	130.689	68
32	27	0	0	0	0	118.577	69
32	26	0	0	0	0	115.26	70
32	26	0	0	0	0	132.226	71
32	26	0	0	0	0	106.96	72
32	26	0	0	0	0	128.899	73
32	27	0	0	0	0	126.741	74
32	27	0	0	0	0	118.594	75
32	27	0	0	0	0	112.739	76
31	26	0	0	0	0	125.916	77
32	27	0	0	0	0	124.292	78
32	27	0	0	0	0	122.663	79
32	27	0	0	0	0	128.444	80
32	27	0	0	0	0	133.53	81
32	28	0	0	0	0	123.915	82
32	28	0	0	0	0	137.434	83
32	29	0	0	0	0	123.236	84
32	29	0	0	0	0	140.462	85
32	29	0	0	0	0	127.999	86
32	29	0	0	0	0	134.03	87
32	29	0	0	0	0	138.689	88
32	29	0	0	0	0	113.816	89
31	27	0	0	0	0	114.011	90
31	27	0	0	0	0	139.626	91
31	27	0	0	0	0	124.077	92
31	27	0	0	0	0	122.382	93
32	27	0	0	0	0	115.649	94
32	27	0	0	0	0	116.325	95
32	26	0	0	0	0	112.202	96
31	26	0	0	0	0	113.896	97
30	26	0	0	0	0	113.776	98
30	26	0	0	0	0	114.433	99
29	26	0	0	0	0	119.412	100
29	26	0	0	0	0	129.505	101
29	26	0	0	0	0	116.547	102
30	26	0	0	0	0	134.013	103
30	27	0	0	0	0	114.729	104
32	27	0	0	0	0	117.585	105
32	27	0	0	0	0	117.543	106
31	29	0	0	0	0	114.572	107
31	29	0	0	0	0	126.907	108
32	30	0	0	0	0	131.316	109
32	31	0	0	0	0	149.956	110
32	31	0	0	0	0	153.19	111
31	31	0	0	0	0	128.188	112
31	31	0	0	0	0	149.078	113
31	31	0	0	0	0	125.654	114
31	31	0	0	0	0	127.967	115
31	31	0	0	0	0	125.619	116
32	31	0	0	0	0	126.521	117
32	31	0	0	0	0	130.64	118
32	31	0	0	0	0	130.696	119
32	31	0	0	0	0	139.957	120
32	31	0	0	0	0	149.406	121
32	31	0	0	0	0	130.189	122
32	30	0	0	0	0	132.369	123
30	31	0	0	0	0	127.165	124
28	30	0	0	0	0	126.963	125
27	30	0	0	0	0	128.507	126
26	30	0	0	0	0	133.212	127
26	30	0	0	0	0	119.889	128
26	30	0	0	0	0	119.792	129
26	30	0	0	0	0	121.018	130
26	30	0	0	0	0	135.056	131
26	30	0	0	0	0	121.091	132
26	30	0	0	0	0	120.75	133
27	31	0	0	0	0	129.696	134
26	31	0	0	0	0	116.983	135
25	31	0	0	0	0	123.172	136
25	31	0	0	0	0	135.277	137
25	31	0	0	0	0	129.428	138
25	32	0	0	0	0	121.649	139
25	32	0	0	0	0	122.92	140
25	32	0	0	0	0	133.317	141
25	32	0	0	0	0	124.232	142
25	32	0	0	0	0	134.113	143
26	34	0	0	0	0	125.422	144
26	34	0	0	0	0	138.233	145
27	35	0	0	0	0	126.584	146
26	35	0	0	0	0	130.072	147
26	35	0	0	0	0	141.5	148
26	35	0	0	0	0	148.101	149
27	35	0	0	0	0	130.396	150
27	34	0	0	0	0	129.842	151
26	34	0	0	0	0	123.021	152
26	38	0	0	0	0	125.599	153
26	39	0	0	0	0	131.611	154
26	39	0	0	0	0	160.466	155
26	39	0	0	0	0	130.261	156
26	39	0	0	0	0	129.29	157
25	37	0	0	0	0	132.302	158
25	37	0	0	0	0	138.609	159
24	36	0	0	0	0	138.638	160
24	36	0	0	0	0	143.575	161
26	37	0	0	0	0	145.933	162
28	37	0	0	0	0	136.555	163
28	36	0	0	0	0	135.934	164
28	36	0	0	0	0	131.638	165
28	37	0	0	0	0	132.139	166
28	37	0	0	0	0	151.695	167
29	37	0	0	0	0	136.61	168
29	37	0	0	0	0	135.863	169
29	37	0	0	0	0	150.637	170
30	37	0	0	0	0	155.803	171
31	36	0	0	0	0	157.071	172
31	37	0	0	0	0	144.153	173
30	37	0	0	0	0	135.7	174
30	38	0	0	0	0	136.343	175
