ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
1	0.48	0.832305	4236840
0.724138	0.431034	0.675552	3438890
0.649123	1	0.92963	4732280
1	0.474576	0.828294	4216420
0.516129	0.483871	0.596213	3035020
0.656716	1	0.932868	4748750
0.568966	1	0.889825	4529650
0.310345	1	0.67347	3428290
1	0.47541	0.828914	4219580
0.40625	0.484375	0.516675	2630130
0.672727	1	0.939407	4782040
0.298246	1	0.659074	3355010
0.254237	1	0.602412	3066570
0.641791	1	0.926421	4715940
0.632353	1	0.922165	4694270
0.584615	0.461538	0.623288	3172840
0.373499	1	0.741336	3773760
0.365079	1	0.732948	3731070
0.384615	1	0.75212	3828660
0.709677	1	0.953058	4851530
0.234043	0.468085	0.35181	1790890
0.630435	1	0.921283	4689780
0.672131	1	0.93917	4780840
0.57377	1	0.892515	4543340
0.579021	1	0.895408	4558060
1	1	1	5090490
0.127152	1	0.389386	1982170
0.790323	1	0.976297	4969830
1	0.0455083	0.186123	947455
1	0.191919	0.508717	2589620
0.333333	1	0.699537	3560990
0.76	0.4	0.665981	3390170
1	0.0789474	0.279393	1422250
1	0.0584795	0.224508	1142850
1	0.263158	0.614474	3127970
1	0.411765	0.777125	3955950
1	0.411765	0.777125	3955950
0.725	1	0.958148	4877440
0.405405	1	0.771433	3926970
0.639057	1	0.925202	4709730
0.542816	1	0.874468	4451470
0.763636	1	0.969561	4935540
0.644068	0.355932	0.566914	2885870
0.381818	0.345455	0.399093	2031580
0.694915	1	0.94784	4824970
1	1	1	5090490
1	0.482759	0.834322	4247110
1	0.477612	0.830546	4227890
0.630721	0.613887	0.754573	3841150
1	0.594926	0.903882	4601200
0.657534	0.479452	0.679178	3457350
0.0747261	1	0.26856	1367100
1	1	1	5090490
0.293103	0.482759	0.418193	2128810
0.731343	0.492537	0.728013	3705940
1	0.473684	0.827628	4213030
0.945681	0.0115865	0.0604148	307541
0.770492	1	0.971379	4944800
1	1	1	5090490
1	1	1	5090490
0.72	1	0.956523	4869170
0.745763	0.491525	0.734438	3738650
0.55814	1	0.883617	4498040
0.92	1	0.996711	5073750
1	1	1	5090490
1	1	1	5090490
1	0.46875	0.823915	4194130
0.589286	0.446429	0.614362	3127400
1	0.48	0.832305	4236840
1	0.482759	0.834322	4247110
1	1	1	5090490
0.678571	1	0.941698	4793710
0.79296	0.012429	0.055386	281942
1	0.0448264	0.184011	936704
0.754098	1	0.966929	4922150
1	0.196612	0.516406	2628760
1	0.472727	0.826912	4209390
1	0.422222	0.786272	4002510
1	0.442857	0.803568	4090550
1	0.0678571	0.250417	1274740
0.442623	1	0.803377	4089580
0.305085	0.423729	0.393744	2004350
1	1	1	5090490
0.701299	1	0.950134	4836650
0.641509	0.490566	0.678539	3454100
1	1	1	5090490
0.349206	1	0.716604	3647860
0.724138	0.37931	0.629598	3204960
2.22045e-15	0.433333	3.42323e-14	1.74259e-07
0.722222	1	0.95725	4872870
1	0.352941	0.720513	3667770
1	0.222222	0.556462	2832660
1	0.222222	0.556462	2832660
1	0.491525	0.840627	4279210
1	1	1	5090490
2.12053e-14	1	6.88843e-13	3.50655e-06
0.716981	1	0.955525	4864090
0.840909	1	0.986615	5022350
1	9.97892e-06	0.000124886	635.734
0.70029	0.499274	0.717056	3650170
0.667073	0.597561	0.765247	3895480
0.959184	0.469388	0.809511	4120810
1	0.00221484	0.0157532	80191.6
1	1	1	5090490
1	0.492308	0.841182	4282030
0.322581	1	0.687549	3499960
0.442857	1	0.803568	4090550
0.015873	1	0.0816371	415573
1	0.0899751	0.306655	1561030
0.8125	1	0.981207	4994830
0.757576	1	0.967903	4927100
0.307692	1	0.670355	3412440
0.173913	0.391304	0.250943	1277420
0.5	0.482143	0.584035	2973020
0.507937	1	0.852012	4337160
0.930233	1	0.997508	5077800
0.953488	1	0.998901	5084900
1	0.488966	0.838803	4269920
1	1	1	5090490
1	0.51052	0.853756	4346040
1	0.0295237	0.133523	679696
0.696809	0.224291	0.446367	2272230
1	1	1	5090490
0.742424	1	0.963544	4904910
0.365854	1	0.733728	3735030
1	1	1	5090490
0.734694	1	0.961201	4892990
1	0.463768	0.820114	4174780
1	0.423729	0.787568	4009110
1	0.183616	0.494828	2518920
1	0.00082309	0.00666904	33948.7
0.609375	1	0.911212	4638510
1	0.235849	0.576548	2934910
1	1	1	5090490
0.811321	1	0.980961	4993570
1	0.498077	0.845237	4302670
0.733333	1	0.96078	4890840
0.823529	1	0.983423	5006100
1	0.522404	0.861608	4386010
1	0.32	0.684619	3485050
1	0.0487589	0.196053	998006
0.785714	1	0.975199	4964240
0.22459	1	0.560011	2850730
1	0.431373	0.794063	4042170
1	0.088619	0.303379	1544350
0.377049	1	0.744815	3791480
0.6	0.422222	0.601172	3060260
1	0.432836	0.795291	4048420
1	0.422535	0.786542	4003880
1	0.491803	0.840824	4280210
0.371186	1	0.739051	3762130
1	0.466667	0.822332	4186070
0.46	1	0.817203	4159970
1	0.470588	0.825304	4201200
1	1	1	5090490
0.810345	0.413793	0.701709	3572040
0.387632	1	0.75499	3843270
0.553571	1	0.880934	4484390
1	0.44	0.801231	4078660
1	0.183333	0.494349	2516480
1	0.0620868	0.23464	1194430
0.782609	1	0.974444	4960400
1	0.434783	0.796917	4056700
0.557143	1	0.883034	4495080
1	0.472222	0.826533	4207460
0.163636	0.454545	0.267662	1362530
1	1	1	5090490
0.266667	1	0.619135	3151700
0.415535	1	0.780453	3972890
0.679245	0.45283	0.670226	3411780
1	1	1	5090490
1	0.226244	0.562475	2863270
1	0.433333	0.795707	4050540
1	1	1	5090490
0.283019	0.471698	0.402322	2048020
1	0.155102	0.444161	2261000
0.742424	0.484848	0.727757	3704640
1	0.491803	0.840824	4280210
0.746479	0.464789	0.714228	3635770
0.803571	0.428571	0.711501	3621890
1	0.479167	0.831693	4233720
1	1	1	5090490
1	0.491803	0.840824	4280210
0.627119	0.491525	0.671006	3415750
1	0.482759	0.834322	4247110
1	0.0344414	0.150457	765901
0.473684	1	0.827628	4213030
0.407407	1	0.773235	3936150
0.523077	1	0.862045	4388230
1	0.105019	0.341692	1739380
1	0.146751	0.428368	2180600
0.446429	0.357143	0.452184	2301840
0.666667	1	0.936977	4769670
0.19697	1	0.516987	2631720
1	1	1	5090490
0.447761	0.462687	0.533305	2714780
0.590283	0.0289474	0.0866221	440949
1	0.492063	0.841009	4281150
0.318458	0.222846	0.258713	1316980
0.0181949	0.104481	0.0138116	70307.7
0.772138	0.108727	0.291945	1486150
0.0579954	0.103557	0.0367258	186953
0.196879	0.101259	0.0979888	498811
0.161778	0.060323	0.0549387	279665
0.759792	0.0419171	0.141622	720926
0.160884	0.067214	0.0597665	304241
0.226638	0.0658791	0.0777045	395554
0.71466	0.0132402	0.0535605	272649
0.341086	0.17986	0.232582	1183960
0.431375	0.423568	0.493302	2511150
0.814055	0.601026	0.839019	4271020
0.0616389	0.59719	0.158356	806112
0.0899221	0.59719	0.210739	1072760
0.0531942	0.593561	0.140675	716107
0.00274507	0.593763	0.0120928	61558.1
0.0133104	0.591644	0.046022	234274
0.0337673	0.791955	0.123589	629130
0.276596	0.789294	0.550552	2802580
0.101659	0.753098	0.273293	1391200
0.0763255	0.749924	0.22097	1124850
1.32461e-06	0.749924	1.47237e-05	74.951
0.0983827	1	0.326521	1662150
0.144102	0.574774	0.289147	1471900
0.277354	0.574774	0.452142	2301620
0.00289414	0.782449	0.0160563	81734.4
0.0327691	0.785363	0.119925	610477
0.146847	0.420539	0.233716	1189730
0.216205	0.411057	0.303993	1547470
5.48947e-07	0.431128	3.8474e-06	19.5851
0.00516388	0.431128	0.0158232	80547.9
0.0422267	0.440309	0.0926847	471811
0.000629311	0.390636	0.00228891	11651.7
0.0129039	0.390636	0.0317073	161406
0.00167259	0.390636	0.00544482	27716.8
0.000279244	0.14301	0.000444403	2262.23
0.0130806	0.400674	0.0327631	166780
0.0233853	0.400466	0.053107	270340
0.00381753	0.225942	0.0069483	35370.3
0.00169198	0.225942	0.00339065	17260.1
0.0786223	0.348258	0.125895	640866
0.131318	0.348258	0.186814	950977
0.662915	0.218563	0.424783	2162360
0.0886351	0.225942	0.0983437	500618
0.0116169	0.225942	0.018223	92763.9
0.124689	1	0.384283	1956190
0.630641	1	0.921378	4690270
1	1	1	5090490
1	2.64538e-11	6.70752e-10	0.00341446
1	1	1	5090490
0.274646	0.785905	0.546779	2783370
1	0.785905	0.975245	4964470
0.0011775	0.393402	0.00401958	20461.6
0.502602	0.485651	0.588309	2994780
0.091324	0.532756	0.195734	996383
0.126219	0.545929	0.253232	1289070
0.185703	0.549051	0.334754	1704060
0.228585	0.551184	0.38699	1969970
0.0436497	0.743238	0.143663	731318
0.642648	0.81747	0.86351	4395690
0.904573	0.677803	0.913056	4647900
1	0.308227	0.670985	3415640
0.865665	0.357385	0.672335	3422510
0.00702977	0.588641	0.0268455	136657
1	0.707927	0.952455	4848460
0.751183	0.852715	0.925867	4713120
0.764587	0.584704	0.806969	4107870
0.396036	0.457649	0.490795	2498390
1.15245e-06	0.711926	1.23179e-05	62.7039
0.0353687	0.693728	0.115507	587988
0.511261	0.84295	0.793723	4040440
0.00306388	0.843692	0.0179863	91559.2
0.730894	0.840361	0.91359	4650620
0.409091	0.409091	0.466526	2374850
0.545455	0.409091	0.557841	2839680
0.409091	0.409091	0.466526	2374850
0.612245	1	0.912626	4645720
0.283173	1	0.640452	3260210
1	0.489362	0.839086	4271360
1	1	1	5090490
1	0.355556	0.723226	3681580
1	1	1	5090490
1	1	1	5090490
0.645833	1	0.928201	4725000
1	0.181176	0.490677	2497790
0.571429	0.285714	0.459164	2337370
1	0.285714	0.643647	3276480
0.3	1	0.661192	3365790
0.425532	0.489362	0.53498	2723310
1	0.422222	0.786272	4002510
0.76704	1	0.970471	4940180
0.164118	0.431012	0.258104	1313870
0.106436	0.431012	0.187255	953220
0.322867	1	0.687873	3501610
0.0151082	1	0.0784496	399347
0.306452	1	0.668891	3404980
1	0.439024	0.800429	4074580
0.294118	0.490196	0.423403	2155330
0.652778	0.472222	0.671019	3415820
0.482143	0.357143	0.475106	2418520
1	0.000579439	0.00489826	24934.5
1	0.392157	0.759252	3864970
0.895833	0.458333	0.776081	3950630
0.479167	0.458333	0.552529	2812650
0.712329	1	0.953962	4856130
1	0.0448264	0.184011	936704
0.857143	0.464286	0.764641	3892400
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
0.847458	0.457627	0.755168	3844180
1	1	1	5090490
0.846154	1	0.987507	5026900
0.693333	0.490196	0.706654	3597220
0.678788	1	0.941782	4794130
1	1	1	5090490
1	0.104822	0.341247	1737110
0.183333	1	0.494349	2516480
0.65	1	0.930009	4734200
1	0.463415	0.819842	4173400
0.628395	1	0.920339	4684980
1	4.71559e-05	0.000516925	2631.4
0.791045	1	0.976466	4970690
1	0.106383	0.344756	1754980
1	1	1	5090490
1	0.384615	0.75212	3828660
1	1	1	5090490
1	0.483871	0.835131	4251230
1	1	1	5090490
1	0.457143	0.814976	4148630
1	0.00290073	0.0198491	101042
1	0.00290073	0.0198491	101042
1	0.432432	0.794953	4046700
1	1	1	5090490
0.357143	1	0.724864	3689910
1	1	1	5090490
1	0.478261	0.831026	4230330
0.648148	0.444444	0.646583	3291420
1	1	1	5090490
1	0.444444	0.804858	4097120
1	1	1	5090490
1	0.490909	0.840189	4276980
1	0.0981815	0.326055	1659780
0.842105	1	0.986821	5023400
1	0.38	0.747682	3806070
1	1	1	5090490
1	0.227273	0.564001	2871040
1	1	1	5090490
1	1	1	5090490
0.6	0.4	0.582508	2965250
1	0.380952	0.748602	3810750
1	0.365854	0.733728	3735030
1	0.128049	0.391233	1991570
1	0.451613	0.810613	4126420
0.146992	1	0.428832	2182960
0.0010101	0.49899	0.00433107	22047.3
0.350877	0.473684	0.464465	2364360
0.8125	0.395833	0.686455	3494390
1	1	1	5090490
0.793651	0.460317	0.733202	3732360
1	0.174359	0.478901	2437840
1	0.0688259	0.253016	1287980
1	0.425	0.788658	4014660
0.594595	0.378378	0.560595	2853700
1	1	1	5090490
1	0.1777	0.484706	2467390
0.904762	1	0.995314	5066630
1	0.496528	0.844155	4297160
1	1	1	5090490
0.8	1	0.978515	4981120
1	1	1	5090490
1	0.125	0.38493	1959480
0.828125	1	0.984302	5010580
1	1	1	5090490
0.185185	1	0.497481	2532420
1	1	1	5090490
0.737705	0.459016	0.705302	3590330
0.65	1	0.930009	4734200
1	0.479167	0.831693	4233720
1	1	1	5090490
1	1	1	5090490
0.807018	0.491228	0.763229	3885210
0.824561	0.491228	0.77111	3925330
1	1	1	5090490
0.514286	1	0.856274	4358850
1	1	1	5090490
0.617021	1	0.914951	4657550
0.0188679	0.339623	0.0387696	197356
1	0.136637	0.408602	2079990
0.730159	0.460317	0.702571	3576430
1	0.478261	0.831026	4230330
0.850746	0.462687	0.760627	3871970
1	0.466667	0.822332	4186070
1	1	1	5090490
0.55074	1	0.879252	4475830
0.551724	0.482759	0.618716	3149570
1	1	1	5090490
0.892655	0.50565	0.810421	4125440
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
0.492063	1	0.841009	4281150
1	0.0455057	0.186114	947414
0.327869	1	0.693489	3530200
1	0.434783	0.796917	4056700
1	0.459459	0.816783	4157830
0.2	1	0.521888	2656660
1	1	1	5090490
1	1	1	5090490
0.296296	1	0.65671	3342970
1	0.056146	0.217835	1108890
1	0.45614	0.81419	4144630
1	0.428571	0.791699	4030140
1	0.454545	0.812935	4138240
1	0.42	0.78435	3992730
1	0.416667	0.781445	3977940
0.775862	0.448276	0.715121	3640320
0.360656	0.459016	0.463283	2358340
0.738462	1	0.962353	4898850
0.724138	1	0.95787	4876030
0.392361	1	0.759443	3865940
1	1	1	5090490
1	0.485714	0.836465	4258020
0.819672	0.393443	0.687451	3499460
1	0.206531	0.532293	2709630
0.843137	1	0.986998	5024300
1	1.6137e-06	2.31356e-05	117.771
1	1	1	5090490
0.596774	0.370968	0.555199	2826240
1	0.411765	0.777125	3955950
1	0.0121951	0.0659356	335645
0.0337942	1	0.148271	754771
0.702128	1	0.950428	4838150
0.410959	0.479452	0.517094	2632260
1	0.45098	0.81011	4123860
0.293333	1	0.653091	3324550
0.288462	1	0.647075	3293930
1	1	1	5090490
1	1	1	5090490
0.784615	1	0.974933	4962890
1	0.489796	0.839396	4272940
0.655738	0.377049	0.59274	3017340
1	0.235294	0.575746	2930830
1	0.49492	0.843027	4291420
0.507389	0.0484969	0.115768	589317
0.840909	1	0.986615	5022350
1	0.196429	0.516108	2627240
1	1	1	5090490
0.714286	1	0.954623	4859500
1	1	1	5090490
1	0.0575053	0.221733	1128730
0.935577	0.181731	0.471274	2399010
0.800595	0.1875	0.43478	2213240
0.826087	1	0.983915	5008610
0.285714	0.469388	0.403551	2054270
0.55	1	0.87881	4473580
0.894737	0.45614	0.77388	3939430
1	1	1	5090490
0.320755	1	0.685478	3489420
1	0.45098	0.81011	4123860
0.670886	0.455696	0.668025	3400570
1	0.474576	0.828294	4216420
1	0.0971909	0.32375	1648050
1	0.0564103	0.218596	1112760
0.464286	0.464286	0.546342	2781150
1	0.428571	0.791699	4030140
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
0.452381	0.333333	0.436072	2219820
1	0.209644	0.53718	2734510
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
0.735849	0.415094	0.6677	3398920
0.806409	0.492537	0.763928	3888770
0.457627	0.457627	0.536834	2732750
1	1	1	5090490
0.478261	0.492754	0.576282	2933560
1	1	1	5090490
1	0.479167	0.831693	4233720
0.773585	1	0.97218	4948870
1	0.24238	0.585893	2982480
0.578947	1	0.895367	4557860
1	1	1	5090490
0.782609	1	0.974444	4960400
0.439744	1	0.801021	4077590
0.282051	1	0.639034	3253000
0.384615	1	0.75212	3828660
0.25	1	0.596574	3036850
1	0.498208	0.845328	4303140
0.629808	1	0.920993	4688310
1	1	1	5090490
0.347826	1	0.715149	3640460
0.34375	1	0.71082	3618420
0.345455	1	0.712636	3627670
0.45	1	0.809328	4119880
0.446429	1	0.806462	4105290
0.428571	0.482143	0.532454	2710450
0.826087	0.492754	0.772921	3934550
0.684211	0.438596	0.661303	3366360
0.322034	1	0.68693	3496810
1	0.461538	0.818395	4166030
0.589286	0.464286	0.628206	3197880
1	0.463415	0.819842	4173400
1	1	1	5090490
1	0.227922	0.564962	2875930
1	0.227922	0.564962	2875930
0.338462	1	0.705132	3589470
0.278689	0.42623	0.37185	1892900
1	1	1	5090490
1	1	1	5090490
1	0.0175934	0.0886749	451399
1	0.387755	0.755107	3843870
0.921569	0.431373	0.764254	3890430
0.865385	0.442308	0.750348	3819640
0.5	0.4375	0.551212	2805940
0.655738	0.459016	0.662387	3371880
0.442308	1	0.80312	4088270
0.521739	1	0.861176	4383810
1	1	1	5090490
0.644444	0.488889	0.678954	3456210
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
0.866667	0.4	0.713922	3634220
1	0.00276517	0.0190538	96993.4
0.565217	0.478261	0.623941	3176160
1	0.434783	0.796917	4056700
1	1	1	5090490
0.608696	0.369565	0.560552	2853480
0.409091	1	0.774744	3943830
0.77193	0.491228	0.746901	3802090
0.555556	0.444444	0.592276	3014970
1	1	1	5090490
1	0.46875	0.823915	4194130
0.63784	0.494293	0.679206	3457490
0.8	1	0.978515	4981120
1	1	1	5090490
0.590909	0.484848	0.644632	3281490
1	0.483333	0.83474	4249240
0.508197	1	0.852188	4338060
0.295082	0.459016	0.40623	2067910
1	1	1	5090490
0.901961	1	0.995029	5065190
0.711538	1	0.953693	4854770
0.348485	1	0.715844	3644000
0.442308	1	0.80312	4088270
0.613369	1	0.913177	4648520
1	1	1	5090490
1	0.478261	0.831026	4230330
0.697674	0.44186	0.671041	3415930
0.575758	0.363636	0.536746	2732300
1	0.233333	0.5729	2916340
0.652174	1	0.930942	4738950
1	0.449275	0.808749	4116930
0.762712	0.40678	0.673366	3427760
0.746032	1	0.964609	4910340
0.527778	1	0.86507	4403630
0.721311	1	0.956953	4871360
1	1	1	5090490
0.625	0.4375	0.627999	3196820
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	0.274136	0.628904	3201430
1	0.502439	0.848258	4318050
0.773585	0.45283	0.717755	3653730
1	0.45098	0.81011	4123860
0.815385	1	0.981801	4997850
1	1	1	5090490
0.800547	1	0.978637	4981740
0.481481	0.481481	0.5707	2905140
1	0.481481	0.83339	4242370
0.242857	1	0.586568	2985920
0.712121	1	0.953891	4855780
0.409836	0.491803	0.52439	2669400
0.38806	1	0.755395	3845330
0.878049	0.487805	0.791483	4029040
1	0.45	0.809328	4119880
0.564103	1	0.887062	4515580
0.225	1	0.560622	2853840
1	0.351852	0.719377	3661980
0.396226	1	0.763041	3884250
0.0120482	0.445783	0.0334432	170242
0.688889	1	0.945621	4813670
0.376812	0.434783	0.460188	2342580
0.560606	1	0.885049	4505340
