unique_top_cov	unique_bot_cov	redundant_top_cov	redundant_bot_cov	raw_redundant_top_cov	raw_redundant_bot_cov	e_value	position
39	29	0	0	0	0	155.919	1
39	30	0	0	0	0	144.064	2
40	30	0	0	0	0	129.05	3
40	30	0	0	0	0	137.078	4
41	31	0	0	0	0	134.065	5
41	30	0	0	0	0	131.864	6
42	30	0	0	0	0	126.573	7
39	30	0	0	0	0	143.527	8
39	30	0	0	0	0	131.566	9
39	30	0	0	0	0	134.173	10
38	30	0	0	0	0	142.796	11
37	29	0	0	0	0	142.928	12
37	29	0	0	0	0	129.818	13
37	29	0	0	0	0	135.18	14
38	29	0	0	0	0	134.943	15
38	29	0	0	0	0	144.343	16
39	29	0	0	0	0	141.813	17
39	29	0	0	0	0	142.904	18
40	30	0	0	0	0	130.808	19
40	30	0	0	0	0	150.363	20
40	31	0	0	0	0	152.047	21
40	31	0	0	0	0	149.637	22
40	31	0	0	0	0	153.936	23
40	31	0	0	0	0	148.167	24
40	31	0	0	0	0	156.313	25
40	31	0	0	0	0	150.997	26
41	32	0	0	0	0	142.177	27
41	32	0	0	0	0	163.453	28
41	32	0	0	0	0	136.924	29
40	31	0	0	0	0	142.381	30
40	31	0	0	0	0	135.758	31
40	30	0	0	0	0	127.452	32
40	30	0	0	0	0	141.255	33
40	30	0	0	0	0	137.805	34
40	30	0	0	0	0	150.994	35
39	29	0	0	0	0	140.905	36
39	29	0	0	0	0	147.414	37
40	29	0	0	0	0	134.646	38
40	29	0	0	0	0	126.286	39
40	29	0	0	0	0	143.777	40
40	29	0	0	0	0	152.772	41
40	29	0	0	0	0	149.171	42
39	29	0	0	0	0	141.357	43
40	29	0	0	0	0	129.612	44
40	28	0	0	0	0	118.371	45
40	29	0	0	0	0	118.247	46
39	29	0	0	0	0	128.91	47
38	28	0	0	0	0	108.559	48
38	28	0	0	0	0	112.294	49
38	27	0	0	0	0	129.779	50
38	27	0	0	0	0	115.03	51
38	28	0	0	0	0	123.458	52
38	27	0	0	0	0	123.861	53
38	28	0	0	0	0	138.733	54
38	28	0	0	0	0	125.035	55
37	28	0	0	0	0	137.39	56
37	28	0	0	0	0	121.246	57
37	28	0	0	0	0	129.368	58
37	30	0	0	0	0	139.174	59
38	30	0	0	0	0	127.784	60
39	30	0	0	0	0	150.569	61
39	30	0	0	0	0	141.593	62
40	30	0	0	0	0	130.816	63
42	30	0	0	0	0	140.057	64
42	30	0	0	0	0	135.259	65
42	30	0	0	0	0	147.375	66
42	29	0	0	0	0	116.918	67
41	29	0	0	0	0	130.684	68
41	29	0	0	0	0	121.614	69
41	29	0	0	0	0	120.843	70
41	29	0	0	0	0	136.859	71
41	28	0	0	0	0	102.771	72
38	29	0	0	0	0	131.692	73
38	29	0	0	0	0	128.174	74
38	28	0	0	0	0	122.129	75
38	27	0	0	0	0	110.068	76
36	26	0	0	0	0	129.807	77
37	26	0	0	0	0	120.411	78
37	27	0	0	0	0	130.247	79
36	26	0	0	0	0	118.75	80
36	26	0	0	0	0	129.687	81
36	26	0	0	0	0	113.707	82
36	26	0	0	0	0	132.864	83
36	26	0	0	0	0	119.21	84
36	26	0	0	0	0	136.372	85
36	26	0	0	0	0	115.242	86
36	25	0	0	0	0	111.295	87
35	23	0	0	0	0	113.849	88
35	23	0	0	0	0	97.0352	89
34	22	0	0	0	0	90.5673	90
33	23	0	0	0	0	126.989	91
33	23	0	0	0	0	102.891	92
33	23	0	0	0	0	102.655	93
32	22	0	0	0	0	95.8666	94
32	21	0	0	0	0	95.3704	95
33	21	0	0	0	0	90.4681	96
32	21	0	0	0	0	88.3422	97
32	22	0	0	0	0	91.411	98
32	22	0	0	0	0	92.9391	99
31	22	0	0	0	0	95.563	100
30	22	0	0	0	0	109.543	101
30	22	0	0	0	0	99.4139	102
30	22	0	0	0	0	109.705	103
30	22	0	0	0	0	90.7568	104
27	21	0	0	0	0	105.731	105
31	25	0	0	0	0	93.773	106
31	25	0	0	0	0	95.1831	107
31	25	0	0	0	0	112.149	108
31	25	0	0	0	0	116.301	109
32	25	0	0	0	0	124.207	110
31	25	0	0	0	0	129.028	111
31	25	0	0	0	0	106.588	112
32	25	0	0	0	0	125.348	113
32	25	0	0	0	0	109.568	114
32	25	0	0	0	0	107.506	115
31	25	0	0	0	0	103.569	116
31	26	0	0	0	0	105.659	117
31	26	0	0	0	0	107.84	118
