ks_quality_p_value	fisher_strand_p_value	bias_p_value	bias_e_value
1	1	1	5090490
1	1	1	5090490
1	0.428571	0.791699	4030140
1	0.47619	0.829494	4222530
1	1	1	5090490
1	0.235294	0.575746	2930830
1	0.490196	0.839681	4274390
0.779661	0.474576	0.737882	3756180
0.897059	1	0.99451	5062540
1	1	1	5090490
0.957447	1	0.999081	5085820
1	0.487179	0.837521	4263390
0.619048	0.47619	0.654867	3333590
0.850575	0.482759	0.77611	3950780
0.895833	1	0.994376	5061860
0.777778	0.462963	0.727879	3705260
1	0.493919	0.842321	4287830
0.808824	0.426471	0.712088	3624880
1	0.0620868	0.23464	1194430
1	1	1	5090490
1	1	1	5090490
0.624213	0.595705	0.739705	3765460
1	0.471698	0.82614	4205460
1	1	1	5090490
0.675294	1	0.940419	4787200
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
0.632653	0.469388	0.657516	3347080
1	1	1	5090490
0.769231	1	0.971049	4943120
0.852459	1	0.988537	5032140
1	0.60499	0.909024	4627380
0.897959	1	0.994607	5063040
1	0.386364	0.753786	3837140
0.0153846	0.492308	0.0445579	226822
1	1	1	5090490
1	1	1	5090490
1	0.411765	0.777125	3955950
1	0.46875	0.823915	4194130
1	1	1	5090490
0.744186	0.44186	0.694555	3535630
1	0.448276	0.807948	4112850
1	1	1	5090490
0.704225	0.478873	0.703801	3582690
1	1	1	5090490
0.230769	0.384615	0.303714	1546060
0.631579	0.473684	0.66019	3360690
1	0.446809	0.806769	4106850
0.802817	1	0.979138	4984300
1	0.485714	0.836465	4258020
1	0.0407035	0.171013	870542
1	1	1	5090490
1	0.490909	0.840189	4276980
1	1	1	5090490
1	0.492537	0.841345	4282860
0.865672	1	0.990544	5042360
0.410714	1	0.776191	3951200
1	1	1	5090490
0	1	0	0
1	1	1	5090490
1	1	1	5090490
0.851064	1	0.988313	5031000
1	0.45098	0.81011	4123860
0.623188	0.478261	0.658834	3353790
0.505553	1	0.850392	4328910
1	1	1	5090490
0.742424	1	0.963544	4904910
0.738462	0.461538	0.707688	3602480
0.681818	1	0.942949	4800070
1	1	1	5090490
1	0.486486	0.837022	4260860
0.625	1	0.918752	4676900
0.90625	1	0.995461	5067390
0.69863	0.493151	0.711652	3622660
1	0.442308	0.80312	4088270
0.878049	0.414634	0.731929	3725880
0.672727	0.418182	0.638111	3248300
1	1	1	5090490
0.948276	1	0.998639	5083560
1	1	1	5090490
1	1	1	5090490
1	1	1	5090490
1	0.431034	0.793779	4040720
1	1	1	5090490
0.574358	0.235294	0.405621	2064810
1	0.45098	0.81011	4123860
1	0.45283	0.81158	4131340
1	1	1	5090490
1	0.41791	0.782532	3983470
0.611655	1	0.912337	4644240
0.587879	1	0.90018	4582360
1	0.488889	0.838748	4269640
1	1	1	5090490
0.630936	1	0.921514	4690960
0.532516	1	0.868077	4418940
1	0.46875	0.823915	4194130
0.887097	0.451613	0.767088	3904850
0.636364	1	0.923991	4703570
1	0.396226	0.763041	3884250
0.851852	1	0.98844	5031650
1	1	1	5090490
1	0.357143	0.724864	3689910
1	1	1	5090490
1	0.462963	0.819495	4171630
0.640994	1	0.926066	4714130
0.0655738	0.47541	0.139292	709066
1	0.471429	0.825937	4204430
0.892308	1	0.993981	5059850
1	0.469697	0.824632	4197780
1	1	1	5090490
